Código Equipo,Actividad,Plantilla Formulario
EXC-001,Excavación,Inspección excavadora
EXC-001,Carguío,
EXC-001,Mantenimiento rutinario,
EXC-002,Excavación,Inspección excavadora
EXC-002,Carguío,
EXC-002,Mantenimiento correctivo,
COMP-001,Compactación,Inspección compactador
COMP-001,Mantenimiento rutinario,
COMP-002,Compactación,Inspección compactador
COMP-002,Mantenimiento rutinario,
MOT-001,Nivelación,
MOT-001,Mantenimiento rutinario,
MOT-002,Nivelación,
ROD-001,Sellado asfáltico,
ROD-001,Mantenimiento rutinario,
ROD-002,Sellado asfáltico,
ROD-002,Mantenimiento rutinario,
RETRO-001,Excavación,
RETRO-001,Mantenimiento rutinario,
VOLQ-001,Transporte de material,
VOLQ-001,Traslado entre tramos,
VOLQ-002,Transporte de material,
VOLQ-002,Traslado entre tramos,
VOLQ-003,Transporte de material,
VOLQ-003,Traslado entre tramos,
CIST-001,Riego de agua,
CIST-001,Mantenimiento rutinario,
CIST-002,Riego de agua,
CIST-002,Mantenimiento rutinario,
CARG-001,Carguío,
CARG-001,Mantenimiento rutinario,
CARG-002,Carguío,
CARG-002,Mantenimiento rutinario,
PAV-001,Extendido de carpeta asfáltica,
PAV-001,Mantenimiento correctivo,
PLAN-001,Producción de agregados,
PLAN-001,Mantenimiento rutinario,
