Ubicación,Ubicación_Sola,Especialidad_Sola,PLANO DE REFERENCIA,ID_Protocolos
Tramo 1 / Subrasante PR0+050,T1 PR0+050,Subrasante,PL-VIA-T1-001,"VIS-001,MAT-001,COMP-001,GRA-001,ESP-001,NIV-001,CBR-001"
Tramo 1 / Subrasante PR0+125,T1 PR0+125,Subrasante,PL-VIA-T1-001,"VIS-001,COMP-001,ESP-001,NIV-001"
Tramo 1 / Subrasante PR0+200,T1 PR0+200,Subrasante,PL-VIA-T1-001,"VIS-001,COMP-001,ESP-001,NIV-001"
Tramo 2 / Subbase PR0+300,T2 PR0+300,Subbase,PL-VIA-T2-001,"VIS-001,MAT-001,COMP-001,GRA-001,ESP-001,NIV-001"
Tramo 2 / Subbase PR0+400,T2 PR0+400,Subbase,PL-VIA-T2-001,"VIS-001,COMP-001,ESP-001"
Tramo 2 / Subbase PR0+490,T2 PR0+490,Subbase,PL-VIA-T2-001,"VIS-001,COMP-001,ESP-001,NIV-001"
Tramo 3 / Base granular PR0+550,T3 PR0+550,Base,PL-VIA-T3-001,"VIS-001,MAT-001,COMP-001,GRA-001,ESP-001,NIV-001,CBR-001"
Tramo 3 / Base granular PR0+650,T3 PR0+650,Base,PL-VIA-T3-001,"VIS-001,COMP-001,ESP-001,NIV-001"
Tramo 3 / Base granular PR0+740,T3 PR0+740,Base,PL-VIA-T3-001,"VIS-001,COMP-001,ESP-001"
Tramo 4 / Carpeta asfáltica PR0+800,T4 PR0+800,Carpeta asfáltica,PL-VIA-T4-001,"VIS-001,MAT-001,ESP-001,NIV-001,SEN-001"
Tramo 4 / Carpeta asfáltica PR0+900,T4 PR0+900,Carpeta asfáltica,PL-VIA-T4-001,"VIS-001,ESP-001,NIV-001,SEN-001"
Tramo 4 / Carpeta asfáltica PR0+990,T4 PR0+990,Carpeta asfáltica,PL-VIA-T4-001,"VIS-001,ESP-001,SEN-001"
