ID_Protocolo;Protocolo;PartidaItem;Actividad realizada;Método de validación;Sección;;
VIS-001;Revisión Visual de Plataforma;1;Plataforma libre de material orgánico y vegetal;;Limpieza;;
VIS-001;Revisión Visual de Plataforma;2;Superficie nivelada sin baches visibles;;Limpieza;;
VIS-001;Revisión Visual de Plataforma;3;Drenaje longitudinal funcional;;Drenaje;;
VIS-001;Revisión Visual de Plataforma;4;Cunetas limpias y con pendiente correcta;;Drenaje;;
VIS-001;Revisión Visual de Plataforma;5;Ausencia de erosión en taludes;;Taludes;;
VIS-001;Revisión Visual de Plataforma;6;Bordes de calzada definidos;;Geometría;;
VIS-001;Revisión Visual de Plataforma;7;Ausencia de fisuras o grietas;;Estado superficial;;
VIS-001;Revisión Visual de Plataforma;8;Ausencia de hundimientos o asentamientos;;Estado superficial;;
MAT-001;Control de Materiales en Cancha;1;Material acopiado en zona aprobada;;Acopio;;
MAT-001;Control de Materiales en Cancha;2;Cobertura del material contra lluvia;;Acopio;;
MAT-001;Control de Materiales en Cancha;3;Certificado de cantera vigente;;Documentación;;
MAT-001;Control de Materiales en Cancha;4;Material libre de contaminación con orgánicos;;Calidad;;
MAT-001;Control de Materiales en Cancha;5;Tamaño máximo de partícula conforme;;Calidad;;
MAT-001;Control de Materiales en Cancha;6;Equipos de carguío en buen estado operativo;;Equipos;;
SEN-001;Verificación de Señalización;7;Señales verticales instaladas según plano;;Vertical;;
SEN-001;Verificación de Señalización;8;Postes alineados y verticales;;Vertical;;
SEN-001;Verificación de Señalización;9;Demarcación horizontal con pintura aprobada;;Horizontal;;
SEN-001;Verificación de Señalización;10;Ancho de franjas según norma DG-2018;;Horizontal;;
SEN-001;Verificación de Señalización;11;Reflectividad nocturna verificada;;Calidad;;
COMP-001;Densidad y Humedad (Cono de Arena);1;Punto de muestreo;col-[A][Progresiva (m)];Identificación;;
COMP-001;Densidad y Humedad (Cono de Arena);2;Mediciones;col-[B][Densidad húmeda (g/cm³)];Datos;;
COMP-001;Densidad y Humedad (Cono de Arena);3;Mediciones;col-[C][Humedad (%)];Datos;;
COMP-001;Densidad y Humedad (Cono de Arena);4;Mediciones;col-[D][Densidad seca (g/cm³)];Datos;;
COMP-001;Densidad y Humedad (Cono de Arena);5;Mediciones;col-[E][% Compactación];Resultados;;
COMP-001;Densidad y Humedad (Cono de Arena);6;Punto 1 — PR0+050;val-[50] // numerico-[1.5:2.5] // numerico-[1:15] // numerico-fx[#1B/(1+#1C/100)] // numerico-fx[#1D/2.10*100]:[95:102]:norma[MTC E-117];Mediciones;;
COMP-001;Densidad y Humedad (Cono de Arena);7;Punto 2 — PR0+125;val-[125] // numerico-[1.5:2.5] // numerico-[1:15] // numerico-fx[#2B/(1+#2C/100)] // numerico-fx[#2D/2.10*100]:[95:102]:norma[MTC E-117];Mediciones;;
COMP-001;Densidad y Humedad (Cono de Arena);8;Punto 3 — PR0+200;val-[200] // numerico-[1.5:2.5] // numerico-[1:15] // numerico-fx[#3B/(1+#3C/100)] // numerico-fx[#3D/2.10*100]:[95:102]:norma[MTC E-117];Mediciones;;
COMP-001;Densidad y Humedad (Cono de Arena);9;Resumen;col-[A][Estadístico];Estadística;;
COMP-001;Densidad y Humedad (Cono de Arena);10;Resumen;col-[B][Valor];Estadística;;
COMP-001;Densidad y Humedad (Cono de Arena);11;Promedio % Compactación;numerico-fx[(#1E+#2E+#3E)/3]:[95:102];Estadística;;
COMP-001;Densidad y Humedad (Cono de Arena);12;Mínimo % Compactación;numerico-fx[MIN(#1E;#2E;#3E)]:[95:102];Estadística
COMP-001;Densidad y Humedad (Cono de Arena);13;Desviación estándar;numerico-fx[DESVEST(#1E;#2E;#3E)];Estadística
GRA-001;Granulometría por Tamizado;1;Tamices;col-[A][Tamaño (mm)];Tamices;;
GRA-001;Granulometría por Tamizado;2;Tamices;col-[B][% Pasa];Tamices;;
GRA-001;Granulometría por Tamizado;3;2 pulgadas;val-[50.8] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;4;1 1/2 pulgada;val-[38.1] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;5;1 pulgada;val-[25.4] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;6;3/4 pulgada;val-[19.0] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;7;1/2 pulgada;val-[12.7] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;8;3/8 pulgada;val-[9.5] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;9;N°4;val-[4.75] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;10;N°10;val-[2.00] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;11;N°40;val-[0.425] // numerico-[0:100];Tamices;;
GRA-001;Granulometría por Tamizado;12;N°200 (finos);val-[0.075] // numerico-[0:25]:norma[MTC E-202];Tamices;;
GRA-001;Granulometría por Tamizado;13;Curva Granulométrica;numerico-gr5[x:#1A:#10A-y:#1B:#10B];Gráfico;;
ESP-001;Espesor de Capa Compactada;1;Mediciones;col-[A][Progresiva];Datos;;
ESP-001;Espesor de Capa Compactada;2;Mediciones;col-[B][Espesor izq (cm)];Datos;;
ESP-001;Espesor de Capa Compactada;3;Mediciones;col-[C][Espesor centro (cm)];Datos;;
ESP-001;Espesor de Capa Compactada;4;Mediciones;col-[D][Espesor der (cm)];Datos;;
ESP-001;Espesor de Capa Compactada;5;Mediciones;col-[E][Promedio (cm)];Datos;;
ESP-001;Espesor de Capa Compactada;6;PR0+050;val-[PR0+050] // numerico-[15:30] // numerico-[15:30] // numerico-[15:30] // numerico-fx[(#1B+#1C+#1D)/3]:[18:22];Datos;;
ESP-001;Espesor de Capa Compactada;7;PR0+125;val-[PR0+125] // numerico-[15:30] // numerico-[15:30] // numerico-[15:30] // numerico-fx[(#2B+#2C+#2D)/3]:[18:22];Datos;;
