name,lat,lng
Tramo 1 (PR0+000 a PR0+250),-12.07011,-75.26655
Tramo 1 (PR0+000 a PR0+250),-12.07099,-75.26436
Tramo 1 (PR0+000 a PR0+250),-12.07105,-75.26437
Tramo 1 (PR0+000 a PR0+250),-12.07023,-75.26659
Tramo 2 (PR0+250 a PR0+500),-12.07099,-75.26436
Tramo 2 (PR0+250 a PR0+500),-12.07187,-75.26217
Tramo 2 (PR0+250 a PR0+500),-12.07187,-75.26216
Tramo 2 (PR0+250 a PR0+500),-12.07105,-75.26437
Tramo 3 (PR0+500 a PR0+750),-12.07187,-75.26217
Tramo 3 (PR0+500 a PR0+750),-12.07275,-75.25998
Tramo 3 (PR0+500 a PR0+750),-12.07269,-75.25994
Tramo 3 (PR0+500 a PR0+750),-12.07187,-75.26216
Tramo 4 (PR0+750 a PR1+000),-12.07275,-75.25998
Tramo 4 (PR0+750 a PR1+000),-12.07363,-75.25779
Tramo 4 (PR0+750 a PR1+000),-12.07351,-75.25773
Tramo 4 (PR0+750 a PR1+000),-12.07269,-75.25994
