ID_Protocolo,Protocolo,PartidaItem,Actividad realizada,Método de validación,Sección
LAB-CONCRETO-FLEX,Módulo de Rotura por Flexión - Viguetas de Concreto,1,"Vigueta 1: A=ancho b (mm), B=peralte d (mm), C=luz libre L (mm), D=carga máxima P (kN), E=MR calculado (MPa)","numerico-[145:155] // numerico-[145:155] // numerico-[445:455] // numerico-[5:30] // numerico-fx[REDONDEAR(#1D*#1C/(#1B*#1A^2)*1000,2)]:[3:8]",ENSAYO INDIVIDUAL
LAB-CONCRETO-FLEX,Módulo de Rotura por Flexión - Viguetas de Concreto,2,"Vigueta 2: A=ancho b (mm), B=peralte d (mm), C=luz libre L (mm), D=carga máxima P (kN), E=MR calculado (MPa)","numerico-[145:155] // numerico-[145:155] // numerico-[445:455] // numerico-[5:30] // numerico-fx[REDONDEAR(#2D*#2C/(#2B*#2A^2)*1000,2)]:[3:8]",ENSAYO INDIVIDUAL
LAB-CONCRETO-FLEX,Módulo de Rotura por Flexión - Viguetas de Concreto,3,"Vigueta 3: A=ancho b (mm), B=peralte d (mm), C=luz libre L (mm), D=carga máxima P (kN), E=MR calculado (MPa)","numerico-[145:155] // numerico-[145:155] // numerico-[445:455] // numerico-[5:30] // numerico-fx[REDONDEAR(#3D*#3C/(#3B*#3A^2)*1000,2)]:[3:8]",ENSAYO INDIVIDUAL
LAB-CONCRETO-FLEX,Módulo de Rotura por Flexión - Viguetas de Concreto,4,Módulo de rotura promedio MR (MPa),"numerico-fx[REDONDEAR(PROMEDIO(#1E:#3E),2)]:[3:8]",RESULTADOS
LAB-CONCRETO-FLEX,Módulo de Rotura por Flexión - Viguetas de Concreto,5,Dispersión MR: máx - mín (MPa),"numerico-fx[REDONDEAR(MAX(#1E:#3E)-MIN(#1E:#3E),2)]:[0:1.5]",RESULTADOS
LAB-CONCRETO-FLEX,Módulo de Rotura por Flexión - Viguetas de Concreto,6,¿Cumple MR ≥ 4.0 MPa? (1=sí 0=no),"numerico-fx[SI(#4>=4.0,1,0)]:[1:1]",CUMPLIMIENTO
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,1,"Punto 1 (humedad baja): A=humedad ω (%), B=densidad seca γd (g/cm³)",numerico-[3:8] // numerico-[1.7:2.3],PUNTOS DE COMPACTACIÓN
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,2,"Punto 2: A=humedad ω (%), B=densidad seca γd (g/cm³)",numerico-[5:10] // numerico-[1.7:2.3],PUNTOS DE COMPACTACIÓN
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,3,"Punto 3 (óptimo esperado): A=humedad ω (%), B=densidad seca γd (g/cm³)",numerico-[7:12] // numerico-[1.7:2.3],PUNTOS DE COMPACTACIÓN
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,4,"Punto 4: A=humedad ω (%), B=densidad seca γd (g/cm³)",numerico-[9:14] // numerico-[1.7:2.3],PUNTOS DE COMPACTACIÓN
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,5,"Punto 5 (humedad alta): A=humedad ω (%), B=densidad seca γd (g/cm³)",numerico-[11:16] // numerico-[1.7:2.3],PUNTOS DE COMPACTACIÓN
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,6,Densidad seca máxima γd_máx (g/cm³),numerico-fx[MAX(#1B:#5B)]:[1.9:2.3],RESULTADOS
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,7,Humedad óptima estimada ω_opt (%) - promedio de los 3 puntos centrales,"numerico-fx[REDONDEAR(PROMEDIO(#2A,#3A,#4A),2)]:[5:13]",RESULTADOS
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,8,Curva de compactación (humedad vs densidad seca - Bézier suavizado),numerico-gr2[x:#1A:#5A-y:#1B:#5B],CURVA
LAB-SUELOS-PROCTOR,Compactación Próctor Modificado - Curva,9,¿Cumple γd_máx ≥ 2.0 g/cm³? (1=sí 0=no),"numerico-fx[SI(#6>=2.0,1,0)]:[1:1]",CUMPLIMIENTO
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,1,"Intervalo 1: A=longitud testigo (m), B=peso muestra (kg), C=ley Cu (%), D=ley Au (g/t), E=ley Cu equivalente (%)","numerico-[1:10] // numerico-[2:30] // numerico-[0.1:5] // numerico-[0.05:20] // numerico-fx[REDONDEAR(#1C+#1D*0.4,3)]:[0.1:10]",INTERVALOS DE SONDAJE
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,2,"Intervalo 2: A=longitud testigo (m), B=peso muestra (kg), C=ley Cu (%), D=ley Au (g/t), E=ley Cu equivalente (%)","numerico-[1:10] // numerico-[2:30] // numerico-[0.1:5] // numerico-[0.05:20] // numerico-fx[REDONDEAR(#2C+#2D*0.4,3)]:[0.1:10]",INTERVALOS DE SONDAJE
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,3,"Intervalo 3: A=longitud testigo (m), B=peso muestra (kg), C=ley Cu (%), D=ley Au (g/t), E=ley Cu equivalente (%)","numerico-[1:10] // numerico-[2:30] // numerico-[0.1:5] // numerico-[0.05:20] // numerico-fx[REDONDEAR(#3C+#3D*0.4,3)]:[0.1:10]",INTERVALOS DE SONDAJE
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,4,Longitud total perforada (m),"numerico-fx[REDONDEAR(SUMA(#1A:#3A),2)]:[3:30]",RESÚMENES
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,5,Peso total de muestras (kg),"numerico-fx[REDONDEAR(SUMA(#1B:#3B),2)]:[6:90]",RESÚMENES
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,6,Ley Cu promedio (% - aritmético simple),"numerico-fx[REDONDEAR(PROMEDIO(#1C:#3C),3)]:[0.1:5]",RESÚMENES
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,7,Ley Au promedio (g/t),"numerico-fx[REDONDEAR(PROMEDIO(#1D:#3D),3)]:[0.05:20]",RESÚMENES
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,8,Ley Cu equivalente promedio (%),"numerico-fx[REDONDEAR(PROMEDIO(#1E:#3E),3)]:[0.1:10]",RESÚMENES
